0.0005802294.50557,4.28695,-31.7536,-36.0406,1.23584,-58.7642,NotFound,4.1424,-55.8576,NotFound,5.13655,-44.6179,-49.7545,2.80511,-56.6385,-59.4436,nil,-,-,5.36595,-30.8616,-36.2276,2.52525,-45.2492,-47.7744,2.74884,-45.128,-47.8769,nil,-,-,nil,-,-,nil,-,-,1.41009,-58.342,-56.9319,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,3.59061
2.001644.50557,0.705891,-35.3347,-36.0406,1.23584,-58.7642,NotFound,1.90927,-58.0907,NotFound,5.13655,-44.6179,-49.7545,2.80511,-56.6385,-59.4436,nil,-,-,8.49042,-27.7372,-36.2276,3.06771,-44.7067,-47.7744,3.2387,-44.6382,-47.8769,nil,-,-,nil,-,-,nil,-,-,1.41009,-58.342,-56.9319,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,3.85716
4.002414.50557,0.705891,-35.3347,-36.0406,0.311291,-58.7642,-59.0755,1.90927,-58.0907,NotFound,5.13655,-44.6179,-49.7545,2.80511,-56.6385,-59.4436,nil,-,-,8.53635,-27.7372,-36.2735,3.16568,-44.7067,-47.8724,2.85791,-44.6382,-47.4961,nil,-,-,nil,-,-,nil,-,-,0.0670204,-58.342,-58.409,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,3.79409
6.003244.50557,8.70246,-44.743,-36.0406,0.311291,-58.7642,-59.0755,1.90927,-58.0907,NotFound,4.10211,-45.6524,-49.7545,2.64811,-56.7955,-59.4436,nil,-,-,10.0145,-26.259,-36.2735,3.90683,-43.9655,-47.8724,3.13505,-44.361,-47.4961,nil,-,-,nil,-,-,nil,-,-,0.0670204,-58.342,-58.409,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,5.04095
8.004114.50557,0.00174332,-35.5904,-35.5887,0.176109,-58.8666,-59.0427,nil,-,-,4.05777,-46.2376,-50.2953,2.53671,-57.4633,NotFound,nil,-,-,10.0145,-26.259,-36.2735,5.25006,-43.9805,-49.2306,3.29184,-44.2043,-47.4961,nil,-,-,nil,-,-,nil,-,-,0.757931,-58.342,-59.0999,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,4.50271
10.00494.50557,5.17626,-30.4124,-35.5887,0.171337,-59.214,-59.0427,nil,-,-,3.72668,-46.5687,-50.2953,3.17215,-56.8278,NotFound,nil,-,-,10.0145,-26.259,-36.2735,4.80734,-44.4232,-49.2306,3.29184,-44.2043,-47.4961,nil,-,-,nil,-,-,nil,-,-,0.396343,-59.4962,-59.0999,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,4.81102
12.00594.50557,8.39517,-27.1935,-35.5887,0.171337,-59.214,-59.0427,nil,-,-,3.97363,-46.3217,-50.2953,3.17215,-56.8278,NotFound,nil,-,-,9.69271,-26.5808,-36.2735,4.55687,-44.6737,-49.2306,2.94628,-44.5498,-47.4961,nil,-,-,nil,-,-,nil,-,-,0.180847,-59.2807,-59.0999,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,5.24151
14.00674.50557,10.7451,-27.1935,-37.9386,0.171337,-59.214,-59.0427,nil,-,-,10.5764,-46.3217,-56.8981,3.17215,-56.8278,NotFound,nil,-,-,9.69271,-26.5808,-36.2735,3.58823,-44.6737,-48.2619,2.94628,-44.5498,-47.4961,nil,-,-,nil,-,-,nil,-,-,0.21003,-59.2807,-59.4908,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,6.64226
16.00744.50557,3.47475,-41.0058,-37.531,0.171337,-59.214,-59.0427,1.96741,-57.498,-59.4654,10.2818,-46.6163,-56.8981,2.21577,-56.8278,-59.0436,nil,-,-,12.4317,-25.4601,-37.8918,2.60597,-44.6737,-47.2797,2.73085,-44.5498,-47.2807,nil,-,-,nil,-,-,nil,-,-,0.331947,-59.1588,-59.4908,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,5.73009
18.00834.50557,3.47475,-41.0058,-37.531,0.171337,-59.214,-59.0427,1.98243,-57.498,-59.4804,12.6421,-46.6163,-59.2584,3.06535,-56.8278,-59.8932,nil,-,-,13.3472,-25.4601,-38.8073,1.616,-44.6737,-46.2897,1.74045,-44.5498,-46.2903,nil,-,-,nil,-,-,nil,-,-,0.841171,-59.1588,NotFound,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,nil,-,-,6.40962
